iter	Passed	Remaining
0	1	132
1	2	119
2	3	114
3	4	111
4	5	110
5	7	110
6	8	108
7	9	107
8	10	105
9	11	103
10	12	101
11	13	100
12	14	98
13	15	97
14	16	95
15	18	94
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	24	87
22	25	85
23	26	84
24	27	83
25	28	82
26	29	80
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	39	72
35	40	72
36	41	71
37	42	69
38	44	68
39	45	67
40	46	66
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	54	57
49	55	55
50	57	54
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	48
57	64	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	93	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
