iter	Passed	Remaining
0	4	4474
1	6	3086
2	7	2523
3	9	2291
4	10	2169
5	12	2031
6	16	2284
7	17	2190
8	19	2112
9	20	2049
10	22	1996
11	23	1951
12	26	1997
13	28	1972
14	29	1935
15	30	1901
16	32	1885
17	33	1850
18	35	1826
19	36	1801
20	38	1781
21	39	1774
22	41	1773
23	43	1751
24	44	1739
25	46	1726
26	47	1718
27	48	1700
28	50	1692
29	51	1680
30	53	1672
31	54	1658
32	56	1645
33	57	1635
34	58	1626
35	60	1620
36	62	1613
37	63	1608
38	65	1602
39	66	1597
40	67	1590
41	69	1583
42	71	1581
43	72	1574
44	73	1567
45	75	1564
46	76	1558
47	78	1552
48	79	1545
49	82	1571
50	84	1566
51	85	1564
52	88	1585
53	90	1583
54	92	1582
55	94	1592
56	95	1588
57	98	1594
58	100	1604
59	102	1607
60	103	1599
61	105	1592
62	108	1610
63	109	1606
64	112	1620
65	114	1615
66	115	1611
67	117	1605
68	118	1600
69	122	1628
70	124	1623
71	126	1627
72	127	1620
73	128	1613
74	130	1607
75	131	1601
76	133	1597
77	134	1594
78	136	1587
79	139	1606
80	141	1610
81	144	1617
82	145	1605
83	146	1601
84	148	1596
85	149	1591
86	151	1587
87	153	1588
88	157	1610
89	159	1610
90	161	1608
91	164	1619
92	165	1615
93	167	1612
94	170	1621
95	171	1615
96	172	1610
97	174	1604
98	175	1598
99	177	1594
100	178	1588
101	179	1582
102	183	1597
103	185	1595
104	189	1614
105	190	1609
106	192	1603
107	193	1600
108	195	1601
109	197	1601
110	200	1602
111	201	1601
112	203	1599
113	206	1608
114	208	1604
115	210	1600
116	211	1598
117	213	1593
118	214	1589
119	216	1584
120	217	1580
121	218	1574
122	220	1570
123	221	1567
124	223	1563
125	224	1559
126	225	1553
127	227	1549
128	228	1544
129	230	1540
130	231	1536
131	233	1533
132	234	1528
133	236	1526
134	238	1528
135	241	1532
136	243	1534
137	245	1535
138	247	1530
139	249	1532
140	251	1529
141	252	1525
142	254	1523
143	256	1524
144	257	1520
145	260	1523
146	262	1524
147	264	1520
148	265	1514
149	267	1514
150	268	1510
151	270	1508
152	271	1504
153	273	1500
154	274	1497
155	276	1493
156	277	1490
157	279	1487
158	281	1486
159	282	1484
160	283	1477
161	285	1475
162	286	1471
163	288	1468
164	289	1465
165	290	1461
166	292	1457
167	293	1453
168	294	1449
169	296	1445
170	297	1443
171	298	1439
172	300	1436
173	301	1433
174	305	1438
175	306	1435
176	308	1435
177	311	1439
178	313	1436
179	314	1433
180	317	1436
181	321	1443
182	322	1441
183	324	1438
184	325	1435
185	327	1432
186	328	1429
187	330	1426
188	331	1424
189	333	1420
190	334	1416
191	336	1415
192	338	1416
193	340	1413
194	341	1410
195	343	1407
196	345	1406
197	346	1404
198	348	1401
199	349	1397
200	350	1394
201	352	1391
202	354	1390
203	355	1386
204	356	1382
205	357	1379
206	359	1375
207	360	1373
208	361	1369
209	363	1366
210	364	1363
211	366	1362
212	368	1360
213	369	1357
214	370	1354
215	372	1352
216	374	1349
217	375	1346
218	376	1343
219	378	1341
220	379	1338
221	381	1335
222	382	1332
223	383	1330
224	385	1327
225	386	1325
226	388	1322
227	389	1319
228	391	1318
229	392	1315
230	394	1312
231	395	1310
232	397	1307
233	398	1304
234	400	1302
235	401	1299
236	403	1297
237	404	1295
238	405	1292
239	407	1289
240	408	1286
241	410	1284
242	411	1281
243	412	1278
244	413	1275
245	415	1273
246	416	1270
247	417	1267
248	419	1265
249	420	1261
250	422	1259
251	423	1257
